Name;Description;Date;Priority;Effort;TeamMembers;Comments
Task 1 - first Task;Something TODO;01.01.2025;1;XS;Member 1, Member 2;Very easy
Task 2;DOD: Hallo Welt;31.01.2025;2;S;Member 1, Member 2, Member 3;Comment 1
Task 3;Long Text;19.02.2025;10;L;Member 1, Member 4;Comment 1, Comment 2
Task 4;New Issue;22.02.2025;8;L;Member 3, Member 2;Comment1, Comment 3
Task 5;UserStory;16.03.2025;3;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 6;Something TODO;02.02.2025;7;XS;Member 1;Very important
Task 7;DOD: Hallo Welt;07.03.2025;11;M;Member 2;
Task 8;Long Text;23.02.2025;4;XL;Member 5;Very easy
Task 9;New Issue;02.05.2025;10;XL;Member 1, Member 2;Comment 1
Task 10;UserStory;23.04.2025;8;L;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 11;Something TODO;18.04.2025;3;XS;Member 1, Member 4;Comment1, Comment 3
Task 12;DOD: Hallo Welt;31.03.2025;6;S;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 13;Long Text;30.03.2025;6;M;Member 1, Member 2;Very important
Task 14;New Issue;07.03.2025;9;L;Member 1;
Task 15;UserStory;09.02.2025;11;XL;Member 2;Very easy
Task 16;Something TODO;05.05.2025;5;XS;Member 5;Comment 1
Task 17;DOD: Hallo Welt;22.03.2025;5;S;Member 1, Member 2;Comment 1, Comment 2
Task 18;Long Text;07.04.2025;5;L;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 19;New Issue;10.04.2025;7;L;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 20;UserStory;30.03.2025;7;XS;Member 3, Member 2;Very important
Task 21;Something TODO;29.04.2025;7;XS;Member 1, Member 2;
Task 22;DOD: Hallo Welt;22.03.2025;3;M;Member 1;Very easy
Task 23;Long Text;11.02.2025;8;XL;Member 2;Comment 1
Task 24;New Issue;27.03.2025;6;XL;Member 5;Comment 1, Comment 2
Task 25;UserStory;25.04.2025;3;L;Member 1, Member 2;Comment1, Comment 3
Task 26;;10.04.2025;2;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 27;Something TODO;08.04.2025;4;S;Member 1, Member 4;Very important
Task 28;DOD: Hallo Welt;09.02.2025;10;M;Member 3, Member 2;
Task 29;Long Text;12.02.2025;8;L;Member 1, Member 2;Very easy
Task 30;New Issue;02.03.2025;5;XL;Member 1;Comment 1
Task 31;UserStory;24.03.2025;6;XS;Member 2;Comment 1, Comment 2
Task 32;Something TODO;19.04.2025;4;S;Member 5;Comment1, Comment 3
Task 33;DOD: Hallo Welt;22.04.2025;6;L;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 34;Long Text;12.02.2025;10;L;Member 1, Member 2, Member 3;Very important
Task 35;New Issue;14.04.2025;7;XS;Member 1, Member 4;
Task 36;UserStory;02.05.2025;3;XS;Member 3, Member 2;Very easy
Task 37;Something TODO;27.03.2025;6;M;Member 1, Member 2;Comment 1
Task 38;DOD: Hallo Welt;15.02.2025;10;XL;Member 1;Comment 1, Comment 2
Task 39;Long Text;08.03.2025;4;XL;Member 2;Comment1, Comment 3
Task 40;New Issue;05.03.2025;5;L;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 41;UserStory;07.03.2025;10;XS;Member 1, Member 2;Very important
Task 42;Something TODO;25.03.2025;6;S;Member 1, Member 2, Member 3;
Task 43;DOD: Hallo Welt;23.04.2025;4;M;Member 1, Member 4;Very easy
Task 44;Long Text;18.04.2025;3;L;Member 3, Member 2;Comment 1
Task 45;New Issue;01.05.2025;6;XL;Member 1, Member 2;Comment 1, Comment 2
Task 46;UserStory;10.02.2025;5;XS;Member 1;Comment1, Comment 3
Task 47;Something TODO;01.02.2025;3;S;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 48;DOD: Hallo Welt;15.02.2025;8;L;Member 5;Very important
Task 49;Long Text;21.02.2025;7;L;Member 1, Member 2;
Task 50;New Issue;03.03.2025;10;XS;Member 1, Member 2, Member 3;Very easy
Task 51;UserStory;16.04.2025;4;XS;Member 1, Member 4;Comment 1
Task 52;;02.05.2025;5;M;Member 3, Member 2;Comment 1, Comment 2
Task 53;Something TODO;16.03.2025;6;XL;Member 1, Member 2;Comment1, Comment 3
Task 54;DOD: Hallo Welt;27.02.2025;6;XL;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 55;Long Text;10.05.2025;6;L;Member 2;Very important
Task 56;New Issue;10.03.2025;10;XS;Member 5;
Task 57;UserStory;01.05.2025;3;S;Member 1, Member 2;Very easy
Task 58;Something TODO;19.02.2025;11;M;Member 1, Member 2, Member 3;Comment 1
Task 59;DOD: Hallo Welt;07.03.2025;2;L;Member 1, Member 4;Comment 1, Comment 2
Task 60;Long Text;07.03.2025;8;XL;Member 3, Member 2;Comment1, Comment 3
Task 61;New Issue;05.05.2025;5;XS;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 62;UserStory;04.03.2025;4;S;Member 1;Very important
Task 63;Something TODO;08.02.2025;5;L;Member 2;
Task 64;DOD: Hallo Welt;03.03.2025;5;L;Member 5;Very easy
Task 65;Long Text;09.04.2025;7;XS;Member 1, Member 2;Comment 1
Task 66;New Issue;24.02.2025;6;XS;Member 1, Member 2, Member 3;Comment 1, Comment 2
Task 67;UserStory;23.02.2025;8;M;Member 1, Member 4;Comment1, Comment 3
Task 68;Something TODO;13.04.2025;2;XL;Member 3, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 69;DOD: Hallo Welt;20.02.2025;3;XL;Member 1, Member 2;Very important
Task 70;Long Text;06.05.2025;7;L;Member 1;
Task 71;New Issue;09.05.2025;8;XS;Member 2;Very easy
Task 72;UserStory;22.04.2025;5;S;Member 5;Comment 1
Task 73;Something TODO;01.04.2025;6;M;Member 1, Member 2;Comment 1, Comment 2
Task 74;DOD: Hallo Welt;08.04.2025;7;L;Member 1, Member 2, Member 3;Comment1, Comment 3
Task 75;Long Text;10.05.2025;9;XL;Member 1, Member 4;Comment 1, Comment 2, Comment 3, Comment 4
Task 76;New Issue;05.03.2025;6;XS;Member 3, Member 2;Very important
Task 77;UserStory;09.02.2025;4;S;Member 1, Member 2;
Task 78;;25.04.2025;10;L;Member 1;Very easy
Task 79;Something TODO;03.04.2025;4;L;Member 2;Comment 1
Task 80;DOD: Hallo Welt;05.03.2025;9;XS;Member 5;Comment 1, Comment 2
Task 81;Long Text;04.05.2025;3;XS;Member 1, Member 2;Comment1, Comment 3
Task 82;New Issue;29.03.2025;6;M;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 83;UserStory;26.03.2025;11;XL;Member 1, Member 4;Very important
Task 84;Something TODO;03.05.2025;3;XL;Member 3, Member 2;
Task 85;DOD: Hallo Welt;14.04.2025;3;L;Member 1, Member 2;
Task 86;Long Text;29.03.2025;3;XS;Member 1;Very easy
Task 87;New Issue;28.02.2025;4;S;Member 2;Comment 1
Task 88;UserStory;03.05.2025;5;M;Member 5;Comment 1, Comment 2
Task 89;Something TODO;02.03.2025;7;L;Member 1, Member 2;Comment1, Comment 3
Task 90;DOD: Hallo Welt;24.04.2025;8;XL;Member 1, Member 2, Member 3;Comment 1, Comment 2, Comment 3, Comment 4
Task 91;Long Text;04.05.2025;5;XS;Member 1, Member 4;Very important
Task 92;New Issue;09.03.2025;7;S;Member 3, Member 2;
Task 93;UserStory;27.02.2025;4;L;Member 1, Member 2;Very easy
Task 94;Something TODO;15.02.2025;2;L;Member 1;Comment 1
Task 95;DOD: Hallo Welt;23.02.2025;8;XS;Member 2;Comment 1, Comment 2
Task 96;Long Text;23.04.2025;4;XS;Member 5;Comment1, Comment 3
Task 97;New Issue;03.05.2025;6;M;Member 1, Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 98;UserStory;31.01.2025;4;XL;Member 1, Member 2, Member 3;Very important
Task 99;Something TODO;16.03.2025;10;XL;Member 1, Member 4;
Task 100;DOD: Hallo Welt;12.04.2025;3;L;Member 3, Member 2;Very easy
Task 101;Long Text;22.04.2025;5;XS;Member 1, Member 2;Comment 1
Task 102;New Issue;13.03.2025;6;S;Member 1;Comment 1, Comment 2
Task 103;UserStory;14.03.2025;10;M;Member 2;Comment1, Comment 3
Task 104;;09.05.2025;7;L;Member 5;Comment 1, Comment 2, Comment 3, Comment 4
Task 105;Something TODO;28.03.2025;3;XL;Member 1, Member 2;Very important
Task 106;DOD: Hallo Welt;31.01.2025;11;XS;Member 1, Member 2, Member 3;
Task 107;Long Text;06.02.2025;4;S;Member 1, Member 4;Very easy
Task 108;New Issue;09.03.2025;5;L;Member 3, Member 2;Comment 1
Task 109;UserStory;26.04.2025;4;L;Member 1, Member 2;Comment 1, Comment 2
Task 110;Something TODO;30.04.2025;8;XS;Member 1;Comment1, Comment 3
Task 111;DOD: Hallo Welt;25.03.2025;9;XS;Member 2;Comment 1, Comment 2, Comment 3, Comment 4
Task 112;Long Text;21.03.2025;7;M;Member 5;Very important
Task 113;New Issue;09.02.2025;9;XL;Member 1, Member 2;
Task 114;UserStory;30.03.2025;10;XL;Member 1, Member 2, Member 3;Very easy
Task 115;Something TODO;26.04.2025;9;L;Member 1, Member 4;Comment 1
Task 116;DOD: Hallo Welt;09.04.2025;4;XS;Member 3, Member 2;Comment 1, Comment 2
Task 117;Long Text;21.02.2025;5;S;Member 1, Member 2;Comment1, Comment 3
Task 118;New Issue;09.04.2025;5;M;Member 1;Comment 1, Comment 2, Comment 3, Comment 4
Task 119;UserStory;07.04.2025;9;L;Member 2;Very important
Task 120;Something TODO;05.03.2025;7;XL;Member 5;
Task 121;DOD: Hallo Welt;11.03.2025;9;XS;Member 1, Member 2;Very easy
Task 122;Long Text;29.03.2025;11;S;Member 1, Member 2, Member 3;Comment 1
Task 123;New Issue;15.03.2025;5;L;Member 1, Member 4;Comment 1, Comment 2
Task 124;UserStory;10.05.2025;4;L;Member 3, Member 2;Comment1, Comment 3
