X;Y;Value
-2,672001978;3,644680543;3,883497191
-1,998916654;-4,630798979;-3,133661445
-3,702954384;1,939262254;-1,723191007
-2,749183542;3,967653283;-2,689584515
4,187814769;-4,784178764;-5,482495186
3,849696777;1,593328962;3,182630132
-3,456947538;3,518601493;4,387723505
-3,350343746;-4,155967067;-1,136421388
3,898924215;2,409502069;3,537146714
1,869757648;3,865089832;1,529566226
2,233419731;2,450104856;2,25672331
4,714040955;1,618527508;-4,195601581
-2,480510732;4,514588512;-2,834394351
2,870094661;2,856391681;4,238735715
-3,018837178;3,013036736;-2,078920262
-4,040115933;-4,842444412;-2,797588471
4,787804046;-3,81759657;-5,12518323
2,745886675;4,517909354;-3,478942506
1,143755373;-1,910753532;-2,861054205
-3,536731049;-2,994384001;0,816482045
-3,06939708;-4,381291688;-3,991452192
5,512790516;2,159523616;-4,910819256
3,464691208;2,379819935;-1,648747353
-2,223299825;-1,740132383;2,651670285
-3,31817985;2,455787207;4,783039727
-3,692878599;3,661630417;2,329315517
4,306013773;-2,341409354;1,021956678
3,205022091;-3,402805806;-2,277821902
-2,763914258;3,528670069;-2,887845068
-4,138429931;3,496678389;3,217787391
3,36545801;-1,110427731;-3,40219888
4,268429905;-3,175548782;3,744258
2,617694278;3,174886615;3,957032801
4,011180277;-1,580156152;2,551841871
-1,635658803;-3,63479874;3,413972829
-1,81016995;-2,39671298;2,330282163
-3,439742728;-1,701962887;-5,720124201
-2,83571948;1,813484957;-2,460315964
3,770499867;3,923554192;-2,524274353
-2,89354754;4,473155254;-3,458040165
2,618602097;1,929194725;-3,031789433
-3,09549811;-2,376885342;1,363371426
-3,029154956;5,016129774;-3,586129583
-2,720352429;-2,01377389;-3,572004162
2,636201532;3,309490841;3,012130079
-4,008969187;2,455804003;-3,841120496
-2,006822753;3,250237895;-2,908675602
-2,472569606;2,758873088;-3,970775741
-2,600475522;-3,021974855;2,809164274
-1,388970663;-2,315513818;-2,141901413
3,312723904;2,72283781;-2,104893638
-1,590456922;2,930589712;1,878633835
-3,132057423;-2,544301391;-4,126191313
-4,58254709;-1,495758309;3,191078771
3,30110073;1,324531233;-2,387517935
2,064316015;3,854005457;-3,236996505
-2,476228344;-4,279445284;-2,397014274
-3,082731523;1,92826521;-4,089856579
1,778918283;2,988666309;-2,419985651
-3,462501799;1,912719733;-2,981353735
-3,929729374;2,271614621;3,035434447
-4,207174377;-3,547915143;-3,134341818
-2,639815487;2,561886033;-4,607491111
1,896559384;3,548601612;-3,722588718
5,238779485;-3,647458337;2,433540035
-3,241632091;3,445860585;2,932377402
3,640253201;-2,790611017;-2,512650836
-4,179638681;4,223804062;4,503247245
2,887683233;1,813351954;2,760825987
-2,996595289;4,069371774;-1,668628983
4,700520827;-5,147547383;2,475451287
-2,351182969;-3,25086579;-1,806475327
-2,315692748;-4,121846451;-3,686512187
-4,155389664;-4,304860718;-4,270937196
-2,634250469;3,771318911;1,563410614
1,382834634;-3,084414591;-2,462983261
1,561017329;3,149726843;3,630568237
2,045493131;1,806778211;-2,407883193
-3,479129361;-2,359601096;-3,668879876
1,710131961;-1,885151265;-4,54287943
-1,862035665;-2,390945658;-4,540727737
2,057366903;-5,746972454;2,327530331
3,057780648;-1,281341708;-3,622191818
0,823575052;-2,351911575;-3,439962119
4,493317552;-4,269714871;2,588139151
1,173681947;1,931442843;3,856399285
3,757303612;0,989401938;-3,262585571
2,739272314;-3,000156048;-3,836135612
4,075888411;-2,810322607;-3,628358688
3,076554069;4,312628556;-2,801197077
-1,415007842;3,773811334;-2,924888484
3,290391442;3,673574079;2,55837475
1,701684261;3,864033657;2,581498694
0,127808026;-3,023531161;-3,609582558
-0,78479601;-3,828352135;4,509246747
2,645886813;1,404479076;4,064423942
2,728993317;-3,053381869;-3,541711974
1,424510793;1,256354105;-4,354447744
2,562654214;-2,354878396;-3,965384922
3,047733082;-2,616653475;-2,969587059
2,987165388;2,822884371;2,620465723
1,385749032;-3,4495757;-4,879409658
2,958148397;4,511695696;-1,703529453
2,338904401;2,322284001;-5,180263588
3,075859827;-5,027265328;-3,441252859
-1,778542304;1,65635714;-4,802619028
-3,112137357;-2,155063909;3,754926019
2,990019692;1,639374721;2,659655378
-2,976422515;3,356777205;2,985785866
-3,37776664;2,094356358;-2,967534728
2,311697269;-2,544718873;3,415926333
-2,428647035;3,945981412;-2,438892341
-2,278483231;3,87229485;3,752993197
-1,098906131;-3,3823292;3,373227762
2,757541192;2,471928352;-2,376101235
3,340321857;-3,281507619;-1,124501448
3,808843674;-2,446525113;-1,500282642
-2,703270559;-1,193039378;0,715953945
-3,698130296;-4,033849708;-2,780527745
-3,365596405;-1,832840136;-0,886773906
3,676341504;-3,126090488;2,246022261
3,390597367;-2,995180219;2,334610272
-1,938932179;3,877506144;-4,74976456
-3,122400806;4,354374294;-2,433385058
3,462252139;-5,972279817;-3,346857251
3,757198219;2,787033853;3,374617635
3,978800212;3,509487682;-1,588539349
3,372824011;-4,557937979;-2,779000792
-5,347620455;-2,1552491;3,380983821
-2,274229308;2,103917333;2,813052033
2,547391295;-2,971555762;2,242139336
-3,057036828;2,358679372;-3,198250305
2,061351514;3,310283701;-3,755407425
2,169174875;2,928342141;2,065344634
-3,460987974;3,471728293;-1,993346986
1,087513705;2,77303819;3,080815851
-1,181870617;2,958918151;3,074818478
-2,552443994;-2,631431955;1,731382545
0,99555617;-5,076311438;2,527995207
-3,311344817;3,816297897;-1,863450206
-4,584318644;-2,76861491;3,80601075
-3,73035603;-3,637970341;3,224715905
1,908508457;2,356560014;-3,059558374
3,431788478;-2,677629633;-1,92585619
1,671299434;0,884836522;2,56012332
1,843093598;-3,378678197;0,716942445
3,460866294;2,699325545;2,356675731
-3,208296939;3,428013906;-2,42049626
4,968327727;4,808335895;-4,735577439
2,090235448;-3,942465225;2,594406502
1,956900872;-3,562845006;2,502934755
-2,790222716;2,270075184;2,93689641
-3,633740854;-3,320143684;-2,109697653
3,209062191;3,367714771;3,437862827
3,923254601;-2,615705467;-4,846660896
4,185983175;2,837962089;-5,716423979
3,298804184;1,660448377;-3,09678432
2,450422491;0,982961586;-4,142947633
3,708040699;-3,390040337;3,306733413
-4,009371503;3,871092142;-2,897518032
-4,699764724;3,245684799;1,336079347
-4,870868515;-2,100203476;-3,964065889
2,895538593;-2,752497121;1,764865476
-1,564587415;3,776636805;-1,897638583
2,605776457;-2,289423542;-3,199438096
-4,023679117;1,507199689;2,742969214
1,160190364;-3,919410837;2,615995263
3,728457083;-1,428691017;-1,632049801
-2,682964073;-3,922983641;-4,559800213
2,416351135;3,366674579;4,503731003
-0,907832683;3,243498913;2,239593131
1,553671358;3,770037243;-3,863661138
2,489768486;3,852684225;-5,417010896
-3,122687968;1,430928314;-2,550563392
4,175929525;0,571364165;-5,587960007
5,179123397;-1,719167938;-3,975776853
-4,296643512;2,835559876;-4,42642631
-2,191570344;-2,263232025;-2,609656588
1,845690457;-3,963198205;-3,445676142
-1,029004183;-2,494416326;-2,721690836
-3,239264348;2,197273409;2,8737799
-3,929995407;4,481347382;-2,94194847
-3,341805391;-3,767142017;-2,569998979
-2,870795345;1,698520088;-4,766252601
3,622303122;-3,505274489;3,44211284
2,806341975;3,64727301;1,463443753
0,957407493;-1,506814105;-2,904944665
2,969129983;1,952437314;-3,279613518
2,952098149;-1,645858966;3,792964267
-3,31621526;-1,382568434;-2,917247578
4,182570623;-2,483882233;-3,97500188
-2,695827975;3,872473148;4,633112186
-5,256159521;-1,54759222;-3,7641808
-2,57926411;2,273742969;3,310908846
1,81632028;4,724283999;-1,476359899
-3,389260993;-2,868457713;-5,028816312
3,175465967;4,286634415;-2,645380097
-3,708649254;-3,747650027;-1,435271965
-5,241563973;-2,444173697;4,316146207
-1,229065398;-3,992866964;-2,30929259
-1,54049917;-3,705714658;3,343554149
-2,456485775;-2,843045044;2,931489918
1,572512114;-2,933645095;-1,198588234
2,901721792;-2,936196952;2,989300655
