X;Y;Value
0,52858731;0,431460448;0,364099526
0,781484619;0,215493416;0,079786791
0,47065948;0,942407243;0,325491857
0,278592884;0,358202737;0,847624674
0,737372018;0,011995545;0,202486783
0,428835467;0,664105099;0,319075816
0,472451586;0,401041133;0,847232056
0,862916434;0,192971138;0,805768602
0,795883475;0,070250821;0,199972767
0,737195219;0,811680812;0,540875556
0,370630743;0,388807934;0,076951485
0,856048869;0,141104618;0,093661087
0,952331593;0,400588745;0,704156953
0,366313161;0,772163633;0,75664308
0,87841195;0,261391883;0,670291677
0,339493123;0,617033836;0,690676204
0,221393053;0,419970967;0,721478323
0,624285116;0,440857435;0,880453624
0,890022309;0,667789324;0,845451846
0,481059651;0,760045327;0,292802505
0,77904551;0,583348879;0,40652859
0,962808876;0,416223857;0,818102143
0,517723804;0,924479527;0,889871287
0,009080433;0,355923477;0,010167505
0,668037737;0,720029291;0,731684658
0,18206065;0,077669079;0,954745626
0,570670131;0,282907523;0,766094312
0,695820583;0,742938197;0,319919703
0,749028508;0,99486672;0,874514768
0,903223326;0,43562015;0,148422445
0,845669157;0,75668536;0,661102225
0,441212473;0,983070392;0,740298093
0,839822401;0,329924325;0,77648467
0,770884526;0,899875494;0,593520892
0,585274128;0,145761411;0,930365064
0,524970939;0,18147223;0,453174582
0,81550165;0,87768115;0,184384957
0,788264288;0,686843321;0,231901257
0,131634063;0,529751578;0,848962551
0,99863056;0,735645332;0,536976518
0,037068304;0,018962769;0,812270992
0,826230614;0,096408811;0,385641317
0,475271698;0,34269526;0,00360202
0,615651822;0,523003641;0,892101794
0,226440428;0,617275902;0,919610911
0,016503679;0,931947897;0,279809732
0,524869373;0,174578359;0,862937762
0,830658095;0,099667955;0,294403449
0,480237549;0,623517287;0,41500178
0,618827124;0,350955728;0,804849471
0,043448702;0,593895508;0,638789452
0,911201607;0,708450815;0,626773016
0,520104776;0,744021286;0,35661338
0,735679436;0,691599867;0,221434958
0,693726784;0,062118663;0,974250828
0,018915072;0,430597066;0,147067739
0,153822718;0,778095448;0,852443844
0,119450609;0,731901573;0,211890118
0,993034217;0,799461815;0,74855293
0,510842869;0,212818757;0,701102431
0,64841383;0,489413857;0,591751592
0,961442967;0,963578075;0,491407824
0,049171684;0,002202124;0,909998136
0,54998741;0,303033329;0,660883955
0,342187016;0,108960132;0,666295597
0,317307921;0,440692825;0,37962153
0,301396335;0,836509636;0,152890085
0,883169382;0,542271581;0,979759593
0,717343282;0,950932624;0,264558164
0,989180717;0,900735509;0,741878767
0,965722168;0,365677831;0,190313861
0,576637226;0,047147279;0,669380043
0,849406461;0,44407694;0,233560421
0,757231005;0,022571732;0,246347738
0,551012897;0,387648723;0,869997906
0,905630122;0,598278794;0,689793949
0,290793623;0,844560763;0,687938268
0,382778688;0,94812178;0,461741629
0,439080919;0,018848328;0,4666701
0,681823119;0,314939597;0,312668854
0,985813063;0,501588899;0,941856561
0,237412791;0,873548428;0,218186972
0,769063628;0,407434764;0,981736162
0,572390434;0,477329359;0,4896093
0,410894618;0,542368086;0,367577154
0,09764064;0,188614697;0,476226263
0,430121014;0,242573135;0,570467843
0,42010914;0,98316389;0,779333775
0,240282755;0,824693445;0,219374053
0,038891606;0,5374354;0,852508173
0,362817462;0,590529873;0,293872793
0,063427097;0,510553384;0,83123365
0,519763394;0,816488927;0,218327733
0,332358757;0,667914589;0,202736164
0,064281186;0,203527997;0,264330363
0,492786251;0,406462091;0,206205419
0,910294228;0,67047066;0,50640815
0,748628548;0,935779141;0,594202953
0,38775241;0,569319068;0,722547277
0,511706406;0,6923308;0,680979469
0,167326097;0,699481123;0,474182082
0,554484515;0,600363997;0,132714939
0,419505026;0,800135763;0,017497563
0,735944257;0,09727151;0,527215604
0,886652581;0,873176425;0,448837783
0,386845111;0,02436454;0,710046649
0,607227517;0,427904942;0,114088763
0,331040138;0,519459671;0,887984565
0,259526429;0,337261493;0,674859635
0,819476534;0,546386644;0,188198214
0,685272993;0,0309056;0,440356823
0,245383398;0,35728093;0,716034866
0,536272097;0,099357544;0,913026003
0,208250208;0,801534138;0,185330306
0,718677207;0,272360022;0,055420581
0,152551021;0,523133806;0,947849661
0,897902217;0,958221242;0,254064566
0,941740562;0,967742835;0,158281001
0,502457978;0,280096233;0,992010918
0,857607121;0,694750546;0,954954783
0,392543567;0,248128657;0,102587163
0,236779805;0,305333522;0,380413331
0,433030948;0,659872386;0,312646511
0,720853109;0,604342362;0,937194513
0,476955966;0,281501555;0,513443621
0,579076639;0,446636121;0,543534583
0,92103444;0,641090959;0,492464311
0,583372161;0,578398984;0,376020484
0,340874438;0,314040157;0,404634612
0,462640383;0,735296312;0,151725981
0,957740582;0,433291346;0,282634515
0,94308083;0,016162993;0,6741782
0,347209676;0,723890873;0,00954929
0,634466431;0,130571584;0,11048934
0,953836759;0,298593188;0,340736771
0,29508325;0,199801468;0,731191064
0,936157219;0,878694744;0,568342911
0,372852015;0,340807796;0,22168592
0,552893816;0,99185968;0,065863994
0,224205156;0,853873503;0,49155547
0,393141703;0,366110925;0,643277514
0,239872661;0,218554147;0,935078849
0,945474015;0,7664015;0,642046747
0,252414921;0,88962021;0,281997249
0,223332302;0,517975638;0,476886353
0,200741002;0,082044334;0,55569557
0,021938431;0,008289335;0,959298574
0,083117268;0,843486683;0,198234676
0,060169155;0,202826241;0,58245875
0,010028311;0,187327221;0,416217603
0,771014598;0,081723305;0,488621253
0,973570134;0,468401489;0,233731414
0,885242435;0,620015649;0,182126528
0,6813142;0,916357738;0,701317338
0,382082308;0,696865082;0,178704548
0,763147373;0,88348245;0,669659083
0,314519845;0,483577686;0,13140013
0,145370649;0,798786327;0,351726811
0,717317222;0,546495905;0,290361239
0,450592878;0,06257214;0,010943271
0,454240776;0,289011914;0,491487269
0,780560137;0,525165699;0,871828573
0,893908697;0,094841708;0,090587089
0,31470531;0,959641244;0,792618839
0,120074668;0,186065466;0,678009321
0,715126908;0,772762871;0,352078401
0,930527153;0,352801839;0,093095522
0,778828476;0,92411727;0,412607477
0,498621721;0,632963146;0,077153821
0,059880615;0,201365895;0,923226775
0,84222981;0,343178437;0,282649669
0,873724634;0,97805096;0,495571427
0,946934685;0,122599605;0,440825954
0,70289298;0,80113598;0,588335272
0,454811331;0,242582186;0,284516255
0,497452673;0,68960428;0,137564551
0,889949313;0,244425181;0,938924441
0,182655608;0,655584415;0,642628022
0,094247446;0,540639019;0,223424535
0,510681382;0,704621659;0,852116142
0,450774637;0,503884051;0,856578103
0,049110352;0,183935134;0,832533883
0,962304325;0,647117811;0,79544505
0,243106223;0,87018447;0,578575309
0,644958767;0,641095967;0,427524014
0,742875376;0,373445447;0,008529211
0,306834056;0,475164806;0,841598059
0,275910364;0,01400459;0,600490871
0,370637309;0,18862896;0,962110585
0,180937868;0,489774197;0,840826079
0,444073666;0,853556817;0,45916296
0,71008193;0,751298205;0,607057347
0,96200532;0,612233211;0,923044794
0,647864556;0,401633571;0,437524158
0,302849245;0,73734352;0,756908443
0,910152713;0,523393395;0,435878144
0,586521226;0,448356809;0,250039091
0,751874726;0,518693833;0,519638116
0,871554679;0,062742974;0,584919384
0,179219904;0,263512165;0,376740551
0,041444053;0,635373471;0,718821555
0,28852475;0,545849786;0,121346041
0,296567136;0,991982181;0,281314042
0,324259837;0,821622677;0,005999845
0,385680544;0,451538165;0,068585375
0,971872178;0,290399391;0,918355965
0,581042303;0,004592945;0,531140966
0,596054067;0,523315507;0,400366338
0,784205447;0,446486193;0,355030819
0,247247627;0,790877878;0,318292905
0,356567148;0,858347008;0,683374365
0,789216625;0,680208449;0,429990209
0,814640712;0,256848734;0,114085861
0,331756579;0,727435045;0,405374304
0,193446903;0,607371283;0,321542784
0,923745796;0,106613151;0,318812545
0,012174563;0,970464697;0,91997775
0,850040389;0,604406909;0,433849642
0,473695105;0,292716926;0,608870854
0,10754946;0,479096933;0,322425373
0,527290284;0,108465931;0,833549205
0,591204101;0,346895089;0,455224556
0,703738909;0,836529934;0,248328257
0,060651478;0,509034422;0,919504384
0,950672107;0,323522715;0,461310006
0,169406342;0,776385642;0,501749786
0,060781416;0,046660617;0,051202566
0,989904201;0,578303732;0,615541054
0,812031157;0,100177446;0,922360858
0,967922354;0,440585831;0,397617004
0,612214853;0,52501936;0,375666368
0,399861567;0,134691259;0,583663804
0,831502636;0,121610196;0,388058789
0,755275153;0,74482469;0,096207484
0,467381319;0,219819472;0,212153802
0,901487972;0,544887772;0,914421426
0,044650461;0,996464847;0,588134621
0,76248366;0,691862092;0,61015996
0,226458003;0,965823037;0,390944384
0,974524016;0,977919704;0,735832481
0,575709695;0,191547393;0,26946972
0,650655051;0,415949575;0,565095058
0,664573854;0,153055528;0,875888373
0,06036542;0,638106265;0,976134327
0,694300487;0,029316769;0,39554388
0,432281486;0,590711174;0,131599957
0,555309045;0,980751981;0,150360019
0,75752093;0,110121021;0,140170121
0,088911805;0,210275807;0,523834945
0,166281176;0,184519113;0,61702102
0,037446876;0,192134105;0,832589106
0,476774219;0,749402809;0,947827376
0,501242418;0,884444206;0,303867838
0,135371638;0,310030985;0,861863411
0,433983017;0,468996975;0,670285347
0,9303892;0,678497188;0,734853361
0,385419838;0,890865045;0,618273728
0,648285473;0,457924753;0,000253129
0,133520243;0,755367909;0,152865054
0,618964923;0,954656382;0,397468044
0,020999061;0,670714336;0,603865841
0,287543918;0,761559199;0,781906981
0,784023492;0,31885039;0,910655226
0,103147858;0,898276894;0,479209957
0,89782461;0,854015833;0,510328058
0,318761678;0,031371856;0,398435892
0,103131515;0,542102496;0,062476514
0,208099872;0,599826128;0,79390583
0,490630128;0,071114178;0,37864714
0,628417807;0,708473791;0,401296191
0,448319634;0,106555842;0,743147127
0,349455191;0,930730118;0,736594333
0,37170892;0,744314034;0,950703944
0,246341767;0,215404421;0,813462427
0,018007847;0,906379373;0,150132825
0,59551998;0,041055832;0,037388802
0,196061479;0,181365885;0,614395709
0,679027396;0,247171617;0,74724435
0,438631444;0,372762798;0,425422345
0,929918959;0,102136156;0,683353157
0,290463121;0,302159289;0,168682455
0,845152485;0,964520165;0,546466734
0,5119483;0,82978297;0,505668834
0,942745703;0,121936337;0,551335472
0,366552368;0,834910213;0,708912789
0,667548652;0,762203652;0,016185754
0,378604928;0,063784779;0,125555196
0,998720103;0,247579766;0,421545496
0,601169962;0,837177747;0,627758299
0,40719577;0,086094707;0,253550364
0,755236533;0,084041251;0,749244606
0,234717925;0,451920136;0,677307269
0,006506154;0,096416583;0,649606999
0,089685646;0,745182097;0,833561799
0,857833921;0,775222627;0,338587173
0,907691169;0,558675458;0,924720778
0,420605106;0,667682606;0,930478801
0,218767921;0,587404446;0,676252019
0,936674242;0,982673546;0,337059449
0,601368914;0,727485332;0,667931203
0,875856779;0,838214499;0,525123342
0,223889912;0,88512564;0,436680771
0,956547227;0,246360348;0,74053334
0,863145357;0,792778112;0,934835782
0,421697422;0,960726808;0,437030468
0,058814325;0,714129592;0,390073033
0,465530428;0,077919309;0,692244619
0,232550234;0,009023873;0,397928516
0,522209916;0,841936308;0,496428846
0,656586266;0,671100896;0,143259929
0,144361818;0,277119399;0,729673008
0,619267939;0,322128158;0,704746558
0,088532728;0,770423063;0,401699504
0,981321233;0,287959758;0,354803123
0,603180919;0,356070639;0,030186689
0,973725551;0,14565284;0,415460664
0,457429701;0,152694936;0,081001185
0,741813352;0,608299506;0,793898157
0,457291149;0,005771557;0,649058134
0,890885819;0,831008207;0,101183888
0,60409761;0,855984588;0,14355051
0,663630614;0,611242951;0,58048133
0,200197452;0,346516868;0,852542364
0,0908353;0,505108008;0,893314691
0,274019189;0,893334383;0,846873084
0,481371227;0,10809967;0,63718866
0,296712289;0,685022572;0,113033684
0,499363702;0,778852853;0,835278114
0,306411447;0,545339142;0,549144522
0,725811098;0,634832918;0,71904762
0,388527888;0,976429188;0,47146941
0,891107272;0,95734698;0,987156234
0,100394174;0,188321387;0,718312741
0,033627747;0,489649091;0,67808427
0,949802652;0,121178425;0,063441894
0,457111756;0,392187755;0,820108965
0,534615104;0,468016783;0,856327876
0,236214569;0,329027937;0,269459893
0,92959254;0,265031622;0,483151172
0,046772957;0,705808396;0,993962318
0,680049401;0,696688366;0,046579078
0,735520639;0,655015237;0,744423176
0,456146855;0,806552669;0,409576768
0,331296437;0,237630075;0,137505649
0,421931945;0,842915328;0,775591729
0,222516573;0,500605361;0,606205654
0,742281047;0,578444406;0,697326403
0,290781657;0,435353542;0,749462072
0,879108831;0,945692392;0,958083712
0,687789004;0,194720511;0,682397675
0,010217244;0,167781042;0,073918001
0,8327161;0,542077281;0,818044434
0,64981525;0,985839347;0,749083131
0,209645228;0,606549329;0,983316818
0,081452466;0,092813893;0,156199723
0,583241917;0,229495177;0,109814542
0,457042803;0,304347092;0,682707886
0,213445228;0,872005146;0,039959759
0,664430799;0,90795315;0,239372418
0,010044943;0,106526798;0,901662531
0,56802915;0,444839287;0,727641645
0,358123915;0,985912048;0,969224802
0,491871737;0,550061888;0,668677812
0,18595303;0,305794419;0,823571852
0,403246398;0,141482943;0,715299261
0,066612151;0,69252978;0,187343891
0,869005583;0,508697677;0,287750086
0,463612065;0,330079886;0,768445417
0,66579836;0,445976634;0,935191736
0,885393972;0,487712446;0,150113791
0,319571799;0,627049155;0,324350871
0,613172197;0,631165092;0,253779421
0,342928054;0,594545785;0,18831786
0,480296022;0,87493075;0,088345364
0,043900706;0,810182183;0,442704833
0,054922856;0,632511947;0,840033631
0,281176627;0,533185828;0,519145263
0,809486826;0,071837994;0,451091196
0,909614099;0,564821246;0,966393365
0,979810043;0,755081753;0,682861806
0,170796528;0,673281984;0,757561792
0,100949561;0,892816302;0,554083372
0,164503037;0,029841432;0,057186774
0,588097835;0,780028925;0,664046431
0,096811616;0,678441504;0,288536745
0,316559942;0,61328739;0,634120911
0,158788751;0,624680629;0,713861911
0,837093187;0,588965495;0,53656791
0,794622111;0,220073028;0,356205982
0,37085045;0,614581856;0,515335078
0,287037113;0,926125654;0,645004522
0,082047221;0,503568464;0,949666578
0,97520571;0,61680538;0,518442523
0,042853618;0,179083028;0,551353726
0,59014031;0,874563176;0,45538257
0,114786158;0,820796852;0,988289936
0,736961151;0,59929904;0,046384088
0,87148729;0,410441955;0,93739442
0,836311828;0,489936916;0,80957092
0,705988914;0,049276774;0,309640531
0,084997335;0,739110144;0,033922643
0,337309142;0,389547897;0,201144836
0,663108337;0,728787755;0,188031289
0,893060662;0,850757958;0,73057605
0,787608805;0,379441013;0,633637341
0,762507472;0,999443814;0,836824063
0,309507096;0,412467131;0,534474949
0,590628005;0,860175574;0,259585795
0,913496488;0,803850119;0,086287615
0,783409178;0,532508387;0,172471224
0,59399899;0,217988845;0,82922513
0,515066376;0,708272152;0,757113596
0,326090057;0,625188596;0,972611993
0,953148956;0,024608936;0,204148488
0,197747309;0,763894198;0,517207017
0,237286141;0,984150118;0,631943555
0,346032935;0,383368333;0,492992527
