Name;Owner;PassengerCapacity;CargoCapacity;MaxSpeed
Queen Mary 2;Cunard Line;2691;0;30
Oasis of the Seas;Royal Caribbean International;6780;0;25
Emma Maersk;AP Moller-Maersk Group;0;156907;43
50 Let Pobedy;Atomflot;138
Achille Lauro;;1300
Achilleus;Royal Olympic Cruises;0
Adriana;V.Ships, Marina Cruises, Tropicana Cruises, B&BS;412
Adventure of the Seas;Royal Caribbean International;4987
Aegean Majesty;Seajets;568
Aegean Odyssey;Voyages to Antiquity;190
Aegean Paradise;Kingston Maritime;250
Starward;Celestyal Cruises;400
AIDAbella;AIDA Cruises;607
AIDAblu I;AIDA Cruises;677
AIDAblu II;AIDA Cruises;607
AIDAcosma;AIDA Cruises;0
AIDAdiva;AIDA Cruises;607
AIDAluna;AIDA Cruises;607
AIDAmar;AIDA Cruises;607
AIDAnova;AIDA Cruises;1545
AIDAprima;AIDA Cruises;900
AIDAperla;AIDA Cruises;900
AIDAsol;AIDA Cruises;607
AIDAstella;AIDA Cruises;609
AIDAvita;AIDA Cruises;389
Akademik Shokalskiy;Aurora Expeditions;30
Akdeniz;Türkiye Denizcilik 0_letmeleri;0
Albatros I;Phoenix Reisen;330
Albatros II;Phoenix Reisen;350
Allure of the Seas;Royal Caribbean International;2165
Amadea;Phoenix Reisen;280
Ambasador I;Adriatic Cruises;0
Ambience;Ambassador Cruise Line;678
Ambition;Ambassador Cruise Line;473
Amera;Phoenix Reisen;470
Amerikanis;Chandris Lines;400
Andrea C.;Costa Crociere;0
Anthem of the Seas;Royal Caribbean International;1500
Arcadia I;Peninsular and Oriental Steam Navigation Company;716
Arcadia II;P&O Cruises;880
Artania;Phoenix Reisen;420
Arvia;P&O Cruises;0
Astor;Cruise & Maritime Voyages;300
Astoria;Brock Pierce;200
Astoria Grande;Aquilon Shipping Company;369
Asuka II;NYK Cruises;545
Aurora;P&O Cruises;850
Ausonia;;0
Australis Ventus;;0
Azamara Journey;Azamara Club Cruises;390
Azamara Onward;Azamara Club Cruises;373
